Project_ID,Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
PROJ_0015,Construction,11,877904.48,14,4.27,8,Hybrid,Expert,2,2,0.3,Initiation,Moderate,0.28,0.91,2,3.83,High,Familiar,2,Poor,0,0.97,Moderate,Government,0.4,6.04,0.41,Low,2.35,6,0.69,0,Junior PM,Managed,Low,Poor,N/A,Fixed-Price,Low,Stable,First-time,Formal,Basic,Fully Colocated,Basic,4,5,1,High
PROJ_0016,Construction,17,950825.03,13,3.7,13,Hybrid,Junior,0,0,0.25,Closure,Moderate,0.15,0.71,2,0.85,Critical,New,3,Low,0,1.26,Strong,Internal,0.14,8.82,0.64,Medium,0.19,0,0.46,0,Senior PM,Managed,Low,Poor,N/A,Time & Materials,Low,Stable,Regular,Formal,Basic,Partially Colocated,Good,11,3,1,High
PROJ_0017,IT,14,805495.26,21,10,11,Scrum,Junior,1,5,2.63,Monitoring,Moderate,0.43,0.96,2,2.2,Low,Familiar,3,Low,0.16,0.83,Strong,Internal,0.11,1.68,0.81,Low,1.04,7,0.69,0.69,Mid-level PM,Defined,High,Poor,Mixed,Cost-Plus,Low,High,First-time,Formal,Basic,Fully Colocated,Basic,5,8,1,Critical
PROJ_0018,IT,5,783474.83,11,5.17,8,Agile,Mixed,2,4,2.87,Planning,Moderate,0.37,0.9,3,6.85,High,Familiar,1,Low,0.15,0.98,Moderate,Internal,0.74,5.68,0.6,Critical,1.01,2,0.53,0.4,Mid-level PM,Ad-hoc,Strict,Moderate,Modern/Stable,Cost-Plus,Medium,Moderate,Strategic,Basic,None,Hybrid,Good,11,4,1.1,High
PROJ_0019,IT,8,600816.42,12,6.14,9,Scrum,Senior,0,3,1.07,Planning,Stable,0.15,0.71,2,11.03,High,Familiar,2,Excellent,0.22,0.96,Moderate,Internal,1,9.08,0.62,Low,1.4,6,0.6,0.48,Senior PM,Defined,High,Excellent,Modern/Stable,Time & Materials,High,Moderate,First-time,Basic,Advanced,Partially Colocated,Excellent,8,5,1,Low
PROJ_0020,IT,9,986572.7,9,3.86,8,Agile,Mixed,0,1,0.91,Closure,Moderate,0.59,0.75,1,4.24,Medium,Familiar,3,Medium,0.07,0.76,Strong,External,0,6.01,0.83,Critical,1.11,6,0.83,0.43,Mid-level PM,Managed,Strict,Good,Modern/Stable,Cost-Plus,Low,High,Strategic,Formal,Formal,Hybrid,Basic,7,3,1,Low
PROJ_0021,Manufacturing,5,491308.77,8,2.32,4,Hybrid,Mixed,1,1,4.44,Closure,Moderate,0.33,0.65,0,4.65,High,Familiar,4,Medium,0,0.88,Moderate,External,0.98,4.68,0.93,High,0.85,2,0.81,0,Mid-level PM,Defined,High,Moderate,N/A,Fixed-Price,High,Stable,First-time,None,Formal,Fully Colocated,Basic,1,1,1,Medium
PROJ_0022,Construction,31,2334012.63,25,6.64,19,Hybrid,Senior,3,3,2.69,Initiation,Stable,0.28,0.67,0,2.47,Medium,Familiar,4,Excellent,0,1.09,Moderate,External,0.01,3.94,0.66,Low,0.58,5,0.72,0,Senior PM,Ad-hoc,Low,Limited,N/A,Time & Materials,Medium,Extreme,Regular,None,None,Fully Remote,Good,8,6,1,High
PROJ_0023,IT,6,710067.31,10,5.45,8,Scrum,Expert,6,2,0.43,Initiation,Moderate,0.27,0.83,0,2.58,Medium,Expert,5,Excellent,0.27,1.19,Moderate,External,0.74,7.91,0.65,Medium,1.27,7,0.73,0.6,Senior PM,Optimizing,High,Moderate,Modern/Stable,Fixed-Price,Medium,Stable,First-time,Formal,Advanced,Fully Colocated,Basic,7,3,1,Low
PROJ_0024,Marketing,25,1242953.21,28,8.35,12,Waterfall,Senior,4,6,0.29,Planning,Moderate,0.21,0.74,2,1.44,High,Familiar,5,High,0,0.85,Moderate,External,0.78,7.35,0.61,High,0.7,1,0.84,0,Senior PM,Defined,Medium,Moderate,N/A,Fixed-Price,High,High,Strategic,Basic,None,Partially Colocated,Good,10,7,1.1,High
PROJ_0025,R&D,10,1047552.12,17,6.72,12,Agile,Mixed,0,3,1.92,Planning,Moderate,0.49,0.7,3,4.57,Critical,Familiar,5,High,0,1,Moderate,Government,0.16,6.44,0.52,Low,1.06,7,0.72,0,Mid-level PM,Defined,Strict,Good,N/A,Fixed-Price,Medium,Moderate,First-time,None,None,Hybrid,Poor,10,6,1,Critical
PROJ_0026,R&D,30,2870943.88,30,10,20,Agile,Junior,0,4,0.35,Monitoring,Moderate,0.36,0.29,2,3.88,Low,New,4,Low,0,1.27,Moderate,External,0.38,2.77,0.64,High,0.9,3,0.68,0,Mid-level PM,Defined,High,Moderate,N/A,Time & Materials,High,Extreme,Strategic,Basic,Basic,Fully Colocated,Poor,3,12,1,Critical
PROJ_0027,IT,11,1194428.17,19,6.48,8,Kanban,Mixed,0,3,1.18,Planning,Stable,0.57,0.91,2,1.44,Critical,New,2,High,0,0.93,Moderate,External,0.18,3.81,0.46,High,0.73,1,0.94,0.27,Mid-level PM,Managed,High,Moderate,Mixed,Fixed-Price,High,High,Strategic,Basic,None,Partially Colocated,Good,8,8,1,Medium
PROJ_0028,R&D,21,1607502.4,24,9.33,17,Agile,Senior,1,3,0.38,Monitoring,Stable,0.09,0.77,0,1.72,Critical,New,4,Low,0,0.84,Moderate,Internal,0.8,9.34,0.46,Critical,1.01,5,0.83,0,Senior PM,Ad-hoc,High,Moderate,N/A,Time & Materials,Medium,High,Regular,Basic,None,Fully Remote,Good,2,7,1,Critical
PROJ_0029,IT,6,893417.2,14,4.52,7,Kanban,Mixed,0,3,0.76,Closure,Stable,0.53,0.72,1,3.44,Low,Familiar,5,High,0,0.82,Strong,Mixed,0.83,7,0.39,Low,0.98,7,0.72,0.02,Senior PM,Defined,High,Excellent,Mixed,Time & Materials,High,High,Regular,Formal,Basic,Fully Remote,Basic,5,3,1,Medium
PROJ_0030,R&D,12,1097471.56,20,9.06,10,Agile,Senior,1,3,0.78,Monitoring,Moderate,0.12,0.87,0,6.7,High,Expert,2,High,0.12,0.73,Moderate,Mixed,0.32,8.51,0.74,Low,0.64,4,0.82,0,Senior PM,Optimizing,High,Excellent,N/A,Cost-Plus,Low,High,First-time,Advanced,Advanced,Fully Remote,Basic,2,3,1,Low
PROJ_0031,Construction,20,1371669.22,15,3.68,14,Waterfall,Mixed,3,1,4.68,Initiation,Moderate,0.15,0.77,1,3.39,Critical,Familiar,3,Poor,0,1.28,Strong,Internal,0.78,4.19,0.59,Low,2.38,5,0.7,0,Junior PM,Optimizing,High,Moderate,N/A,Time & Materials,Low,Stable,Strategic,Formal,Advanced,Hybrid,Excellent,12,4,1,Low
PROJ_0032,IT,10,1013528.15,19,9.81,8,Agile,Mixed,0,3,0.54,Execution,Volatile,0.37,0.43,2,2.74,Critical,Expert,4,Poor,0.23,0.64,Moderate,External,0.75,3.42,0.68,Low,3.13,4,0.68,0.15,Mid-level PM,Managed,High,Limited,Mixed,Time & Materials,High,Extreme,Occasional,Basic,None,Fully Colocated,Poor,2,4,1,Critical
PROJ_0033,IT,14,908431.42,19,7.55,13,Scrum,Senior,1,5,2.38,Execution,Volatile,0.36,0.91,2,3.21,Medium,Expert,5,Medium,0,0.6,Weak,External,0.03,2.5,0.43,Low,1.1,5,0.74,0.05,Senior PM,Optimizing,High,Moderate,Legacy/Unstable,Time & Materials,High,Moderate,Regular,Formal,Formal,Fully Colocated,Good,11,6,1.1,Critical
PROJ_0034,Construction,33,1759357.43,25,6.41,16,Waterfall,Senior,3,4,0.39,Closure,Stable,0.18,0.8,2,3.88,Medium,Expert,2,High,0,1.21,Strong,Internal,0.19,8.22,0.62,Low,0.81,1,0.83,0,Senior PM,Managed,Medium,Excellent,N/A,Time & Materials,High,Moderate,Occasional,Formal,Basic,Partially Colocated,Basic,3,7,1,Low
PROJ_0035,Marketing,2,382508.91,9,3.35,8,Kanban,Junior,0,1,2.32,Closure,Stable,0.44,0.49,1,1.72,Critical,New,1,High,0,0.92,Strong,External,0.61,4.15,0.38,Medium,0.5,5,0.94,0,Senior PM,Defined,Low,Good,N/A,Fixed-Price,Low,High,First-time,Formal,None,Fully Colocated,Basic,12,3,1.1,Medium
PROJ_0036,Marketing,4,628705.64,9,4.43,5,Agile,Junior,0,2,1.08,Monitoring,Volatile,0.23,0.92,0,3.08,Low,Familiar,2,Excellent,0.19,0.95,Weak,External,0.66,8.4,0.57,High,0.43,2,0.93,0,Senior PM,Ad-hoc,Medium,Moderate,N/A,Time & Materials,High,Stable,Regular,None,Formal,Hybrid,Good,1,1,1,High
PROJ_0037,R&D,26,2534703.15,27,10,19,Agile,Senior,3,4,1.15,Execution,Moderate,0.14,0.87,1,1.31,Medium,New,3,Poor,0,1.13,Strong,Government,0.9,6.87,0.52,Critical,2.56,1,0.85,0,Mid-level PM,Defined,High,Limited,N/A,Cost-Plus,High,High,Strategic,Basic,None,Partially Colocated,Excellent,7,12,1,High
PROJ_0038,Marketing,10,979183.19,13,5.07,9,Agile,Senior,0,4,0.54,Execution,Stable,0.35,0.65,0,1.01,Low,Familiar,3,Excellent,0,0.89,Strong,External,0.48,1.16,0.6,Medium,0.16,6,0.88,0,Junior PM,Ad-hoc,Medium,Poor,N/A,Time & Materials,High,Moderate,Strategic,None,Basic,Fully Remote,Basic,4,1,1,Medium
PROJ_0039,R&D,24,2223296.44,25,10,19,Scrum,Mixed,0,4,0.84,Planning,Moderate,0.11,0.7,2,1.99,Medium,New,1,Excellent,0,0.62,Moderate,Mixed,0.08,9.2,0.63,High,1.93,7,0.59,0,Junior PM,Managed,High,Good,N/A,Fixed-Price,Low,Extreme,Regular,Formal,None,Partially Colocated,Excellent,4,1,1,High
PROJ_0040,R&D,16,1674408.75,18,6.94,17,Scrum,Mixed,0,3,1.3,Monitoring,Stable,0.39,0.88,2,3.64,High,Familiar,3,Excellent,0,0.96,Strong,External,0.49,7.32,0.99,Low,0.42,4,0.51,0,Junior PM,Optimizing,High,Good,N/A,Time & Materials,High,Moderate,Strategic,Formal,Formal,Partially Colocated,Basic,5,6,1,Medium
PROJ_0041,Manufacturing,17,989499.48,21,8.55,8,Agile,Senior,3,6,1.41,Closure,Volatile,0.38,0.85,1,11.84,Low,Expert,1,Low,0.02,0.75,Moderate,Internal,0.82,1.61,0.57,High,0.57,2,0.88,0,Mid-level PM,Optimizing,Medium,Moderate,N/A,Fixed-Price,Low,Extreme,Regular,Advanced,Advanced,Fully Remote,Basic,2,4,1,Medium
PROJ_0042,IT,6,701205.27,12,5.7,11,Scrum,Junior,0,2,1.36,Planning,Stable,0.23,0.9,2,2.54,Low,Familiar,5,Medium,0.16,1.27,Moderate,External,0.89,6.43,0.88,Low,1.12,0,0.62,0.55,Junior PM,Ad-hoc,Medium,Limited,Modern/Stable,Fixed-Price,Medium,Moderate,Regular,Basic,Basic,Hybrid,Basic,5,1,1,Medium
PROJ_0043,Construction,35,1884061.27,32,8.8,16,Waterfall,Mixed,1,5,0.49,Execution,Volatile,0.11,0.51,1,2.07,Critical,New,1,Low,0,1.26,Moderate,Mixed,0.09,7.79,0.64,High,1.91,5,0.82,0,Mid-level PM,Defined,Medium,Limited,N/A,Fixed-Price,High,High,Occasional,Advanced,Formal,Fully Remote,Good,9,4,1,Critical
PROJ_0044,Healthcare,19,1012232.55,17,5.63,13,Hybrid,Senior,1,1,0.79,Initiation,Moderate,0.04,0.82,0,2.55,Critical,Expert,5,Excellent,0,1.18,Strong,Mixed,0.88,7.3,0.37,High,0.39,5,0.7,0,Mid-level PM,Ad-hoc,Strict,Poor,N/A,Time & Materials,High,Moderate,Strategic,Formal,None,Partially Colocated,Good,10,4,1,High
PROJ_0045,R&D,24,2139554.93,20,7.23,16,Agile,Mixed,2,3,0.69,Planning,Moderate,0.24,0.64,4,4.03,High,New,2,Excellent,0,0.69,Moderate,External,0.05,7.74,0.52,High,0.56,4,0.72,0,Junior PM,Ad-hoc,Low,Good,N/A,Time & Materials,Medium,High,Strategic,None,Basic,Fully Colocated,Good,12,7,1,Critical
PROJ_0046,IT,6,664009.9,13,5.88,9,Agile,Senior,3,3,1.33,Initiation,Moderate,0.1,0.42,1,4.6,Critical,Expert,2,High,0.12,0.75,Moderate,Government,0.47,8.92,0.45,Low,1.64,2,0.91,0.2,Senior PM,Ad-hoc,Strict,Limited,Modern/Stable,Time & Materials,Medium,High,Occasional,None,Basic,Hybrid,Good,8,2,1,Medium
PROJ_0047,Manufacturing,9,913077.57,11,3.07,12,Agile,Senior,3,3,1.07,Closure,Stable,0.33,0.52,0,5.55,High,Familiar,3,Poor,0,0.62,Strong,Government,0.78,8.02,0.62,Medium,0.18,7,0.94,0,Senior PM,Managed,Medium,Moderate,N/A,Fixed-Price,Low,Stable,Strategic,None,Basic,Fully Remote,Good,6,2,1,Medium
PROJ_0048,IT,22,1665756.98,26,10,13,Scrum,Mixed,2,4,0.24,Closure,Volatile,0.45,0.55,1,3.58,High,New,5,Poor,0,0.94,Strong,Government,0.67,2.23,1,Medium,0.61,7,0.82,0.22,Mid-level PM,Defined,High,Moderate,Mixed,Time & Materials,Medium,Extreme,Strategic,Basic,Formal,Hybrid,Basic,9,6,1,Medium
PROJ_0049,Construction,21,1001539.73,22,6.59,9,Waterfall,Mixed,2,2,0.74,Execution,Stable,0.36,0.47,1,2.79,Medium,Familiar,3,Excellent,0,0.95,Moderate,External,0.48,6.72,0.36,Medium,0.07,3,0.97,0,Mid-level PM,Managed,Medium,Poor,N/A,Hybrid,Medium,Extreme,First-time,Advanced,Formal,Partially Colocated,Excellent,6,5,1,Medium
PROJ_0050,Healthcare,30,1567605.84,30,8.25,11,Waterfall,Junior,1,3,0.69,Monitoring,Moderate,0.78,0.75,0,5.31,Critical,Familiar,3,Low,0,0.96,Moderate,External,0.05,3.61,0.95,High,1.74,5,0.82,0,Junior PM,Managed,Strict,Good,N/A,Fixed-Price,Medium,High,Strategic,Advanced,Formal,Fully Colocated,Good,10,3,1,High
PROJ_0051,Marketing,8,389340,7,3.02,9,Hybrid,Expert,4,3,0.22,Initiation,Moderate,0.25,0.87,2,3.89,High,Familiar,2,Poor,0.07,1.09,Strong,External,0.46,9.29,0.79,High,0.62,0,0.94,0,Certified PM,Optimizing,Medium,Limited,N/A,Time & Materials,Low,Moderate,Occasional,Advanced,Advanced,Partially Colocated,Basic,6,1,1,Low
PROJ_0052,Marketing,9,745740.18,14,5.77,10,Agile,Junior,2,2,0.31,Initiation,Moderate,0.16,0.67,1,8.69,Critical,Expert,1,Medium,0.03,0.98,Moderate,Internal,0.31,4.18,0.73,Low,2.1,7,0.83,0,Mid-level PM,Defined,Strict,Excellent,N/A,Hybrid,High,High,Occasional,Basic,Basic,Hybrid,Poor,1,4,1,Medium
PROJ_0053,IT,10,837440.99,12,4.19,12,Kanban,Expert,1,2,1.37,Monitoring,Stable,0.03,0.86,1,6.14,Low,Familiar,3,Low,0,0.79,Moderate,Internal,0.87,9.52,0.37,Medium,2.11,2,0.77,0.7,Mid-level PM,Managed,High,Limited,Mixed,Cost-Plus,High,Stable,Regular,Basic,Formal,Partially Colocated,Poor,8,3,1,Medium
PROJ_0054,R&D,12,1330371.62,16,7.27,14,Agile,Senior,5,5,0.56,Initiation,Moderate,0.2,0.41,1,4.22,Low,New,3,Excellent,0.12,0.97,Weak,Internal,0.37,9.29,0.71,Low,1.88,4,0.78,0,Senior PM,Optimizing,High,Limited,N/A,Hybrid,Medium,High,Occasional,Formal,Formal,Hybrid,Good,12,7,1,High
PROJ_0055,IT,13,1251156.17,18,6.68,9,Scrum,Mixed,0,2,0.74,Monitoring,Volatile,0.56,0.98,0,3.42,High,Familiar,5,Excellent,0,0.83,Moderate,External,0.51,9.47,0.91,Low,1.05,5,0.66,0.75,Junior PM,Managed,Medium,Limited,Mixed,Cost-Plus,High,High,Regular,Formal,Formal,Fully Colocated,Basic,3,4,1,High
PROJ_0056,Construction,19,1156788.24,20,4.64,11,Waterfall,Senior,3,2,4.27,Planning,Stable,0.17,0.87,0,3.37,Critical,Expert,2,High,0,0.96,Weak,Government,0.76,7.11,0.84,High,0.7,0,0.63,0,Mid-level PM,Defined,Low,Good,N/A,Time & Materials,Medium,Moderate,First-time,None,Basic,Partially Colocated,Basic,1,3,1,Medium
PROJ_0057,Marketing,17,1334670.15,17,7.92,9,Agile,Mixed,1,4,2.69,Closure,Volatile,0.34,0.39,1,2.16,Medium,Familiar,3,High,0.14,1.25,Moderate,Mixed,0.83,8.58,0.56,High,1.19,7,0.73,0,Mid-level PM,Managed,High,Moderate,N/A,Hybrid,Medium,Extreme,Regular,Advanced,Basic,Fully Colocated,Poor,12,5,1.1,Critical
PROJ_0058,R&D,17,1773161.64,23,8.48,18,Agile,Mixed,2,5,1.79,Planning,Volatile,0.79,0.98,1,6.48,Medium,New,5,High,0,1.06,Strong,Mixed,0.06,7.99,0.88,Critical,1.04,5,0.73,0,Senior PM,Defined,Low,Excellent,N/A,Time & Materials,Medium,Extreme,Regular,Basic,Basic,Hybrid,Basic,4,3,1,High
PROJ_0059,IT,14,1135779.98,13,4.58,10,Scrum,Mixed,0,4,1.15,Closure,Stable,0.38,0.64,0,6.57,High,Expert,2,Low,0,0.99,Moderate,External,0.86,6.28,0.71,Low,2.65,4,0.76,0.93,Junior PM,Ad-hoc,Strict,Poor,Mixed,Fixed-Price,Medium,Moderate,Strategic,Advanced,None,Partially Colocated,Good,3,4,1,Medium
PROJ_0060,IT,7,986393.57,11,4.27,9,Kanban,Senior,4,1,2.78,Monitoring,Moderate,0.04,0.75,4,2.45,Critical,New,5,Low,0,0.9,Weak,Internal,0.61,8.93,0.92,Medium,1.17,7,0.9,1,Mid-level PM,Defined,Strict,Moderate,Modern/Stable,Fixed-Price,Medium,Moderate,Strategic,Basic,Basic,Partially Colocated,Poor,1,3,1,High
PROJ_0061,IT,13,1111271.59,22,8.08,9,Kanban,Expert,4,4,0.92,Monitoring,Stable,0.11,0.76,2,1.81,Critical,Expert,3,Medium,0,0.6,Weak,Internal,0.88,4.98,0.99,Medium,0.24,7,0.48,0.94,Senior PM,Managed,Low,Limited,Legacy/Unstable,Fixed-Price,Low,High,Occasional,Advanced,Basic,Fully Remote,Poor,12,4,1.1,High
PROJ_0062,IT,15,1026056.67,15,5.83,13,Scrum,Senior,7,4,1.25,Execution,Volatile,0.07,0.59,2,3.47,High,Familiar,4,Medium,0,0.6,Strong,Internal,0.79,6.65,0.83,Medium,0.11,0,0.75,0.04,Senior PM,Defined,Strict,Poor,Modern/Stable,Hybrid,High,Moderate,Regular,None,Formal,Fully Remote,Basic,3,6,1,High
PROJ_0063,IT,7,618141.35,9,4.43,5,Kanban,Mixed,2,2,0.94,Initiation,Moderate,0.27,0.56,2,1.46,Critical,Familiar,2,High,0.19,1.07,Moderate,Government,0.93,4.49,0.35,Low,0.61,0,0.88,0.67,Mid-level PM,Managed,High,Moderate,Modern/Stable,Hybrid,Medium,Moderate,Occasional,Formal,Advanced,Fully Remote,Basic,1,1,1,Medium
PROJ_0064,Healthcare,6,467539.93,12,5.06,7,Scrum,Mixed,1,2,0.17,Monitoring,Stable,0.45,0.95,0,1.25,Critical,Expert,5,Poor,0.05,0.68,Strong,Internal,0.78,5.16,0.91,Critical,1.88,1,0.6,0,Junior PM,Defined,Strict,Good,N/A,Time & Materials,High,Moderate,First-time,Basic,Formal,Partially Colocated,Poor,7,1,1,High
PROJ_0065,IT,7,989069.32,12,4.51,10,Scrum,Mixed,2,2,1.21,Closure,Stable,0.33,0.52,2,4.53,High,Familiar,5,Medium,0,0.77,Moderate,Mixed,0.79,1.29,0.85,Critical,0.61,3,0.89,0.9,Mid-level PM,Ad-hoc,Medium,Moderate,Modern/Stable,Time & Materials,Medium,Stable,Strategic,None,None,Fully Colocated,Good,10,3,1.1,Medium
PROJ_0066,Marketing,9,574513.65,9,5.18,9,Agile,Mixed,1,2,0.93,Execution,Moderate,0.49,0.64,2,6.63,Low,Expert,1,Excellent,0.31,1.23,Strong,Internal,0.44,7.75,0.67,Critical,0.53,3,0.84,0,Senior PM,Ad-hoc,Low,Moderate,N/A,Cost-Plus,High,Stable,Occasional,Formal,Basic,Hybrid,Good,11,1,1.1,Medium
